Label,Description,Since
ACL,Clausal modifier of noun,3.1.0
ACOMP,Adjectival complement,1.0.0
ADVCL,Adverbial clause modifier,1.0.0
ADVMOD,Adverbial modifier,1.0.0
AGENT,Agent,1.0.0
AMOD,Adjectival modifier,1.0.0
APPOS,Appositional modifier,1.0.0
ATTR,Attribute,1.0.0
AUX,Auxiliary,1.0.0
AUXPASS,Auxiliary (passive),1.0.0
CASE,Case marker,3.1.0
CC,Coordinating conjunction,1.0.0
CCOMP,Clausal complement,1.0.0
COMPOUND,Compound modifier,3.1.0
CONJ,Conjunct,1.0.0
CSUBJ,Clausal subject,1.0.0
CSUBJPASS,Clausal subject (passive),1.0.0
DATIVE,Dative,3.1.0
DEP,Unclassified dependent,1.0.0
DET,Determiner,1.0.0
DOBJ,Direct Object,1.0.0
EXPL,Expletive,1.0.0
INTJ,Interjection,1.0.0
MARK,Marker,1.0.0
META,Meta modifier,1.0.0
NEG,Negation modifier,1.0.0
NOUNMOD,Modifier of nominal,3.1.0
NPMOD,Noun phrase as adverbial modifier,3.1.0
NSUBJ,Nominal subject,1.0.0
NSUBJPASS,Nominal subject (passive),1.0.0
NUMMOD,Number modifier,3.1.0
OPRD,Object predicate,1.0.0
PARATAXIS,Parataxis,1.0.0
PCOMP,Complement of preposition,1.0.0
POBJ,Object of preposition,1.0.0
POSS,Possession modifier,1.0.0
PRECONJ,Pre-correlative conjunction,1.0.0
PREDET,Pre-determiner,1.0.0
PREP,Prepositional modifier,1.0.0
PRT,Particle,1.0.0
PUNCT,Punctuation,1.0.0
QUANTMOD,Modifier of quantifier,1.0.0
RELCL,Relative clause modifier,3.1.0
ROOT,Root,1.0.0
XCOMP,Open clausal complement,1.0.0
